"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"KY0710001","ADAIRVILLE WATER WORKS","Community water system","Surface water purchased","Logan","-","787","5","8","63"
"KY0270003","ALBANY WATER WORKS","Community water system","Surface water","Clinton","-","14,702","7","47","84"
"KY0020956","ALLEN COUNTY WATER DISTRICT","Community water system","Surface water purchased","Allen","-","14,999","4","7","67"
"KY0080928","ARLINGHAUS PROPERTY","Community water system","Ground water","Boone","-","49","5","79","31"
"KY0200009","ARLINGTON WATER DEPARTMENT","Community water system","Ground water","Carlisle","-","588","7","73","41"
"KY0100011","ASHLAND WATER WORKS","Community water system","Surface water","Boyd","-","44,402","6","106","86"
"KY0710012","AUBURN MUN WATER WORKS","Community water system","Surface water purchased","Logan","-","1,931","6","27","89"
"KY0120013","AUGUSTA REGIONAL WTP","Community water system","Ground water","Bracken","-","1,690","14","16","85"
"KY0610016","BARBOURVILLE UTILITIES","Community water system","Surface water","Knox","-","16,420","5","68","59"
"KY0900017","BARDSTOWN MUNICIPAL WATER DEPT","Community water system","Surface water","Nelson","-","31,185","6","77","107"
"KY0200018","BARDWELL CITY UTILITIES","Community water system","Ground water","Carlisle","-","1,227","7","77","40"
"KY1110019","BARKLEY LAKE WATER DISTRICT","Community water system","Surface water","Trigg","-","14,284","6","66","45"
"KY0040020","BARLOW WATER SYSTEM","Community water system","Ground water","Ballard","-","1,040","9","64","39"
"KY0060022","BATH COUNTY WATER DISTRICT","Community water system","Surface water purchased","Bath","-","8,955","6","8","40"
"KY0650024","BEATTYVILLE WATER WORKS","Community water system","Surface water","Lee","-","8,428","5","68","67"
"KY0920025","BEAVER DAM MUNICIPAL WATER & SEWER","Community water system","Ground water","Ohio","-","3,901","10","33","58"
"KY0990281","BEECH FORK WATER COMMISSION","Community water system","Surface water","Powell","-","25","7","10","37"
"KY0750529","BEECH GROVE WATER SYSTEM","Community water system","Surface water purchased","McLean","-","1,461","4","26","47"
"KY0070729","BELL COUNTY FORESTRY CAMP","Community water system","Surface water","Bell","-","275","5","99","42"
"KY0480028","BENHAM WATER PLANT","Community water system","Surface water","Harlan","-","855","4","21","45"
"KY0790029","BENTON WATER & SEWER","Community water system","Ground water","Marshall","-","7,981","10","53","42"
"KY0760030","BEREA MUNICIPAL UTILITIES","Community water system","Surface water","Madison","-","9,972","8","58","25"
"KY0100944","BIG SANDY WATER DISTRICT","Community water system","Surface water purchased","Boyd","-","13,044","8","41","42"
"KY0080976","BIRKLE WATER SUPPLY","Community water system","Ground water","Boone","-","25","6","18","35"
"KY0480265","BLACK MTN UTILITY/COXTON","Community water system","Surface water purchased","Harlan","-","356","5","21","12"
"KY0480277","BLACK MTN UTILITY/DAYHOIT","Community water system","Surface water purchased","Harlan","-","1,954","4","21","11"
"KY0480603","BLACK MTN UTILITY/KENVIR","Community water system","Surface water purchased","Harlan","-","1,396","4","14","4"
"KY0480498","BLACK MTN UTILITY/LOUELLEN","Community water system","Purchased ground water under influence of surface water source","Harlan","-","520","6","95","30"
"KY0480650","BLACK MTN UTILITY/ROSSPOINT","Community water system","Surface water purchased","Harlan","-","1,889","3","13","5"
"KY0480461","BLACK MTN UTILITY/SUKEY RIDGE","Community water system","Surface water purchased","Harlan","-","740","3","16","9"
